CNAE;descricao;categoria;Justificativa com Base Lei 4186.2007;inscricao;ZONA_CORREDOR
133411;Cultivo de pêssego;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3800;2A2
133499;Cultivo de frutas de lavoura permanente não especificadas anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";3900;1Ax
134200;Cultivo de café;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4000;1Ax
135100;Cultivo de cacau;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4100;corredor_2
139301;Cultivo de chá-da-índia;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4200;1Ax
139302;Cultivo de erva-mate;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4300;corredor_2
139303;Cultivo de pimenta-do-reino;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4400;2A2
139304;Cultivo de plantas para condimento, exceto pimenta-do-reino;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4500;2A2
139305;Cultivo de dendê;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4600;1A3
139306;Cultivo de seringueira;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4600;1Ax
139399;Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;VI - ATIVIDADES ESPECIAIS;"A atividade agrícola é uma forma de ""Extração de recursos naturais"".";4700;1A3
141501;Produção de sementes certificadas, exceto de forrageiras para pasto;VI - ATIVIDADES ESPECIAIS;"A produção de sementes é uma atividade agrícola, enquadrada como ""Extração de recursos naturais"".";4700;1Ax
141502;Produção de sementes certificadas de forrageiras para formação de pasto;VI - ATIVIDADES ESPECIAIS;"A produção de sementes é uma atividade agrícola, enquadrada como ""Extração de recursos naturais"".";4900;1A3
142300;Produção de mudas e outras formas de propagação vegetal, certificadas;VI - ATIVIDADES ESPECIAIS;"A produção de mudas é uma atividade agrícola, enquadrada como ""Extração de recursos naturais"".";4900;1Ax
151201;Criação de bovinos para corte;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";5300;2Ax
151202;Criação de bovinos para leite;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";5400;corredor_2
151203;Criação de bovinos, exceto para corte e leite;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";5700;1Ax
152101;Criação de bufalinos;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";5800;corredor_2
152102;Criação de eqüinos;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";5900;corredor_2
152103;Criação de asininos e muares;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6000;1Ax
153901;Criação de caprinos;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6100;4A2
153902;Criação de ovinos, inclusive para produção de lã;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6200;1Ax
154700;Criação de suínos;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6300;2A2
155501;Criação de frangos para corte;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6400;1Ax
155502;Produção de pintos de um dia;II.B.3 - SERVIÇO LOCAL;"Enquadra-se em ""criação de animais"".";6500;corredor_2
155503;Criação de outros galináceos, exceto para corte;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6600;1Ax
155504;Criação de aves, exceto galináceos;II.B.3 - SERVIÇO LOCAL;"A categoria permite ""hospedagem e criação de animais de pequeno, médio e grande porte"".";6700;4B2
155505;Produção de ovos;II.B.3 - SERVIÇO LOCAL;"É uma atividade decorrente da ""criação de animais"".";6800;2A2
159801;Apicultura;II.B.3 - SERVIÇO LOCAL;"Análogo à ""criação de animais de pequeno, médio e grande porte"".";6900;4A2
159804;Criação de bicho-da-seda;II.B.3 - SERVIÇO LOCAL;"Análogo à ""criação de animais de pequeno, médio e grande porte"".";7000;corredor_2
161001;Serviço de pulverização e controle de pragas agrícolas;II.B.2 - SERVIÇO LOCAL;"Análogo ao serviço de ""desratização, dedetização, higienização"".";7100;2Ax
161002;Serviço de poda de árvores para lavouras;II.B.2 - SERVIÇO LOCAL;"Análogo ao serviço de ""jardineiro"".";7100;4A2
161003;Serviço de preparação de terreno, cultivo e colheita;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à agricultura.";7200;corredor_2
161099;Atividades de apoio à agricultura não especificadas anteriormente;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à agricultura.";7300;corredor_2
162801;Serviço de inseminação artificial em animais;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à pecuária.";7400;1Ax
162802;Serviço de tosquiamento de ovinos;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à pecuária.";7500;1Ax
162803;Serviço de manejo de animais;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à pecuária.";7600;1Ax
162899;Atividades de apoio à pecuária não especificadas anteriormente;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à pecuária.";7700;1Ax
163600;Atividades de pós-colheita;II.D.2 - AGROINDÚSTRIAS;"A atividade se enquadra como ""beneficiamento... de produtos alimentares"" ou ""indústria que beneficie a matéria prima oriunda da agricultura"".";7800;2Ax
170900;Caça e serviços relacionados;VI - ATIVIDADES ESPECIAIS;"A caça é uma forma de ""Extração de recursos naturais"".";7900;1Ax
210101;Cultivo de eucalipto;VI - ATIVIDADES ESPECIAIS;"A silvicultura é uma forma de ""Extração de recursos naturais"".";8000;2Ax
210104;Cultivo de teca;VI - ATIVIDADES ESPECIAIS;"A silvicultura é uma forma de ""Extração de recursos naturais"".";8100;corredor_3
210105;Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;VI - ATIVIDADES ESPECIAIS;"A silvicultura é uma forma de ""Extração de recursos naturais"".";8200;2Ax
210106;Cultivo de mudas em viveiros florestais;VI - ATIVIDADES ESPECIAIS;"A silvicultura é uma forma de ""Extração de recursos naturais"".";8300;1Ax
210107;Extração de madeira em florestas plantadas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se diretamente como ""Extração de recursos naturais"".";8400;2Ax
220901;Extração de madeira em florestas nativas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se diretamente como ""Extração de recursos naturais"".";8900;1Ax
220902;Produção de carvão vegetal - florestas nativas;VI - ATIVIDADES ESPECIAIS;"Atividade decorrente da ""Extração de recursos naturais"".";9000;1Ax
220903;Coleta de castanha-do-pará em florestas nativas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se como ""Extração de recursos naturais"".";9100;1Ax
220904;Coleta de látex em florestas nativas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se como ""Extração de recursos naturais"".";9200;1Ax
220905;Coleta de palmito em florestas nativas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se como ""Extração de recursos naturais"".";9300;corredor_2
220906;Conservação de florestas nativas;VI - ATIVIDADES ESPECIAIS;Atividade especial ligada a recursos naturais.;9300;corredor_2
220999;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;VI - ATIVIDADES ESPECIAIS;"Enquadra-se como ""Extração de recursos naturais"".";9400;1A3
230600;Atividades de apoio à produção florestal;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à silvicultura.";9400;1Ax
312401;Pesca de peixes em água doce;VI - ATIVIDADES ESPECIAIS;"A pesca é uma forma de ""Extração de recursos naturais"".";9500;1A3
312402;Pesca de crustáceos e moluscos em água doce;VI - ATIVIDADES ESPECIAIS;"A pesca é uma forma de ""Extração de recursos naturais"".";9500;1Ax
312403;Coleta de outros produtos aquáticos de água doce;VI - ATIVIDADES ESPECIAIS;"A coleta de produtos aquáticos é uma forma de ""Extração de recursos naturais"".";9600;corredor_2
312404;Atividades de apoio à pesca em água doce;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"" de apoio à pesca.";9700;2A2
321301;Criação de peixes em água salgada e salobra;II.B.3 - SERVIÇO LOCAL;"A aquicultura é análoga à ""criação de animais"".";9800;corredor_2
321302;Criação de camarões em água salgada e salobra;II.B.3 - SERVIÇO LOCAL;"A aquicultura é análoga à ""criação de animais"".";9900;1A3
321303;Criação de ostras e mexilhões em água salgada e salobra;II.B.3 - SERVIÇO LOCAL;"A aquicultura é análoga à ""criação de animais"".";9900;1Ax
321304;Criação de peixes ornamentais em água salgada e salobra;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10000;1Ax
321305;Atividades de apoio à aqüicultura em água salgada e salobra;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"".";10100;2Ax
321399;Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10200;1Ax
322101;Criação de peixes em água doce;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10300;1Ax
322102;Criação de camarões em água doce;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10400;corredor_2
322103;Criação de ostras e mexilhões em água doce;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10500;1Ax
322104;Criação de peixes ornamentais em água doce;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10600;corredor_2
322105;Ranicultura;II.B.3 - SERVIÇO LOCAL;"A ranicultura é uma forma de ""criação de animais"".";10700;1Ax
322107;Atividades de apoio à aqüicultura em água doce;II.B.2 - SERVIÇO LOCAL;"Enquadra-se como ""serviços de profissionais liberais e técnicos"".";10800;2Ax
322199;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;II.B.3 - SERVIÇO LOCAL;"A aquicultura é uma atividade análoga à ""criação de animais de pequeno, médio e grande porte"".";10900;1Ax
1031700;Fabricação de conservas de frutas;II.D.2 - AGROINDÚSTRIAS;"A categoria inclui ""conservas de frutas, legumes e outros vegetais, fabricação de doces"".";11100;2Ax
1032501;Fabricação de conservas de palmito;II.D.2 - AGROINDÚSTRIAS;"A categoria inclui ""conservas de frutas, legumes e outros vegetais"".";11200;1Ax
1032599;Fabricação de conservas de legumes e outros vegetais, exceto palmito;II.D.2 - AGROINDÚSTRIAS;"A categoria inclui ""conservas de frutas, legumes e outros vegetais"".";11300;corredor_2
1033301;Fabricação de sucos concentrados de frutas, hortaliças e legumes;II.D.2 - AGROINDÚSTRIAS;Atividade que beneficia matéria-prima da agricultura, análoga à fabricação de conservas e doces.;11300;corredor_2
1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;II.D.2 - AGROINDÚSTRIAS;Atividade que beneficia matéria-prima da agricultura, análoga à fabricação de conservas e doces.;11400;1Ax
1053800;Fabricação de sorvetes e outros gelados comestíveis;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação artesanal de sorvetes, bolos e tortas geladas, inclusive cobertura"".";11600;1Ax
1094500;Fabricação de massas alimentícias;III.D - INDÚSTRIA DE MÉDIO PORTE;"A categoria inclui a ""fabricação de massas alimentícias e biscoitos"".";11700;1Ax
1095300;Fabricação de especiarias, molhos, temperos e condimentos;II.D.2 - AGROINDÚSTRIAS;"A categoria inclui a ""preparação de especiarias e condimentos"".";11800;2Ax
1096100;Fabricação de alimentos e pratos prontos;III.D - INDÚSTRIA DE MÉDIO PORTE;"Análogo à ""cozinha industrial"".";11900;1Ax
1099605;Fabricação de produtos para infusão (chá, mate, etc.);II.D.2 - AGROINDÚSTRIAS;Atividade que beneficia matéria-prima da agricultura.;12000;1Ax
1099606;Fabricação de adoçantes naturais e artificiais;V.B - INDÚSTRIAS ESPECIAIS;"Análogo a ""laboratório de transformação de produtos médicos, veterinários ou farmacêuticos"".";12100;2A2
1099607;Fabricação de alimentos dietéticos e complementos alimentares;V.B - INDÚSTRIAS ESPECIAIS;"Análogo a ""laboratório de transformação de produtos médicos, veterinários ou farmacêuticos"".";12200;2Ax
1351100;Fabricação de artefatos têxteis para uso doméstico;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de artefatos têxteis produzidos nas fiações e tecelagens"".";12300;corredor_2
1352900;Fabricação de artefatos de tapeçaria;IV.D - INDÚSTRIA GERAL;"Enquadra-se em ""indústrias de vestuário e artefatos de tecidos"".";12400;2Ax
1353700;Fabricação de artefatos de cordoaria;V.A - INDÚSTRIA DE GRANDE PORTE;"Análogo à ""fabricação de artigos de selaria e correaria"".";12500;2Ax
1411801;Confecção de roupas íntimas;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";12700;2Ax
1411802;Facção de roupas íntimas;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";12800;1Ax
1412601;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";12900;corredor_2
1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;II.B.2 - SERVIÇO LOCAL;"Análogo a ""alfaiate, costureiro, atelier de costura"".";13000;1Ax
1412603;Facção de peças do vestuário, exceto roupas íntimas;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13100;corredor_3
1413401;Confecção de roupas profissionais, exceto sob medida;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13200;2Ax
1413402;Confecção, sob medida, de roupas profissionais;II.B.2 - SERVIÇO LOCAL;"Análogo a ""alfaiate, costureiro, atelier de costura"".";13300;2Ax
1413403;Facção de roupas profissionais;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13400;2A2
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13500;2A2
1421500;Fabricação de meias;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13700;corredor_2
1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui ""confecção"".";13800;corredor_2
1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;V.A - INDÚSTRIA DE GRANDE PORTE;"A categoria inclui a ""fabricação de malas, valises e outros artigos para viagens"".";13900;1Ax
1529700;Fabricação de artefatos de couro não especificados anteriormente;V.A - INDÚSTRIA DE GRANDE PORTE;"A categoria inclui a ""fabricação de artigos diversos de couro e peles, exclusive calçados e artigos do vestuário"".";14000;1Ax
1531901;Fabricação de calçados de couro;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de calçados"".";14100;1Ax
1531902;Acabamento de calçados de couro sob contrato;II.B.2 - SERVIÇO LOCAL;"Análogo ao serviço de ""sapateiro"".";14200;corredor_2
1532700;Fabricação de tênis de qualquer material;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de calçados"".";14300;corredor_2
1533500;Fabricação de calçados de material sintético;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de calçados"".";14400;corredor_2
1539400;Fabricação de calçados de materiais não especificados anteriormente;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de calçados"".";14500;corredor_2
1540800;Fabricação de partes para calçados, de qualquer material;IV.D - INDÚSTRIA GERAL;"Análogo à ""fabricação de calçados"".";14600;1Ax
1622699;Fabricação de outros artigos de carpintaria para construção;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de estrutura de madeira e artigos de carpintaria"".";14700;1Ax
1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de artefatos de madeira para uso doméstico, comercial e industrial"".";14800;2Ax
1629301;Fabricação de artefatos diversos de madeira, exceto móveis;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de artefatos de madeira para uso doméstico, comercial e industrial"".";14900;2Ax
1629302;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;III.D - INDÚSTRIA DE MÉDIO PORTE;"A categoria inclui a ""fabricação de artefatos de bambu, vime, junco ou palha trançada"".";15000;2A2
1731100;Fabricação de embalagens de papel;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papel, não associados a produção de papel"".";15100;1Ax
1732000;Fabricação de embalagens de cartolina e papel-cartão;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papelão, cartolina e cartão [...] não associado à produção de papelão, cartolina ou cartão"".";15200;1Ax
1733800;Fabricação de chapas e de embalagens de papelão ondulado;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papelão, cartolina e cartão"".";15300;4C2
1741901;Fabricação de formulários contínuos;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papel, não associados a produção de papel"".";15400;corredor_2
1741902;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artigos diversos de material plástico ( [...] objetos de adorno, artigos de escritório)"" por analogia.";15400;corredor_2
1742701;Fabricação de fraldas descartáveis;II.D.1 - PEQUENA INDÚSTRIA;"Análogo à ""fabricação de artefatos de papel"".";15500;corredor_2
1742702;Fabricação de absorventes higiênicos;II.D.1 - PEQUENA INDÚSTRIA;"Análogo à ""fabricação de artefatos de papel"".";15600;1Ax
1742799;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papel, não associados a produção de papel"".";15700;corredor_2
1749400;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;II.D.1 - PEQUENA INDÚSTRIA;"A categoria inclui a ""fabricação de artefatos de papel, não associados a produção de papel"".";15800;corredor_2
1822901;Serviços de encadernação e plastificação;II.B.2 - SERVIÇO LOCAL;"A categoria inclui ""cópias, encadernação, plastificação"".";15900;2A2
1830001;Reprodução de som em qualquer suporte;III.D - INDÚSTRIA DE MÉDIO PORTE;"A categoria inclui a ""reprodução de discos para fonógrafos e fitas magnéticas"".";16000;1Ax
1830002;Reprodução de vídeo em qualquer suporte;III.D - INDÚSTRIA DE MÉDIO PORTE;"Análogo à ""reprodução de discos para fonógrafos e fitas magnéticas"".";16100;2Ax
1830003;Reprodução de software em qualquer suporte;III.D - INDÚSTRIA DE MÉDIO PORTE;"Análogo à ""reprodução de discos para fonógrafos e fitas magnéticas"".";16200;2A2
2061400;Fabricação de sabões e detergentes sintéticos;V.B - INDÚSTRIAS ESPECIAIS;"A categoria inclui a ""fabricação de sabões, detergentes, glicerina e produtos domissanitários"".";16300;1Ax
2062200;Fabricação de produtos de limpeza e polimento;V.B - INDÚSTRIAS ESPECIAIS;"A categoria inclui a ""fabricação de sabões, detergentes, glicerina e produtos domissanitários"".";16400;1Ax
2063100;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos de perfumaria em geral"".";16500;1Ax
2399101;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;IV.D - INDÚSTRIA GERAL;"Análogo à ""lapidação de pedras preciosas e semi-preciosas"".";16600;1Ax
2539002;Serviços de tratamento e revestimento em metais;III.B.2 - SERVIÇO ESPECIAL;"A categoria inclui ""galvanoplastia"" e ""soldagens"".";16700;corredor_2
2610800;Fabricação de componentes eletrônicos;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos eletro-eletrônicos"".";16800;1Ax
2621300;Fabricação de equipamentos de informática;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos eletro-eletrônicos"".";16900;corredor_1
2622100;Fabricação de periféricos para equipamentos de informática;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos eletro-eletrônicos"".";17000;corredor_2
2631100;Fabricação de equipamentos transmissores de comunicação, peças e acessórios;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos eletro-eletrônicos"".";17100;2A2
2632900;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios;IV.D - INDÚSTRIA GERAL;"A categoria inclui a ""fabricação de produtos eletro-eletrônicos"".";17200;corredor_2
